"Gene","KEGG_ID"
"taes:123136245","taes:123136245"
"taes:123136594","taes:123136594"
"taes:123136648","taes:123136648"
"taes:123136851","taes:123136851"
"taes:123137585","taes:123137585"
"taes:123137778","taes:123137778"
"taes:123137781","taes:123137781"
"taes:123137988","taes:123137988"
"taes:123138101","taes:123138101"
"taes:123138197","taes:123138197"
"taes:123138646","taes:123138646"
"taes:123139708","taes:123139708"
"taes:123139862","taes:123139862"
"taes:123140702","taes:123140702"
"taes:123140740","taes:123140740"
"taes:123140845","taes:123140845"
"taes:123141748","taes:123141748"
"taes:123143036","taes:123143036"
"taes:123143478","taes:123143478"
"taes:123143567","taes:123143567"
"taes:123143747","taes:123143747"
"taes:123144108","taes:123144108"
"taes:123144146","taes:123144146"
"taes:123144162","taes:123144162"
"taes:123144920","taes:123144920"
"taes:123144959","taes:123144959"
"taes:123144961","taes:123144961"
"taes:123145278","taes:123145278"
"taes:123145386","taes:123145386"
"taes:123145455","taes:123145455"
"taes:123145538","taes:123145538"
"taes:123146121","taes:123146121"
"taes:123146167","taes:123146167"
"taes:123147323","taes:123147323"
"taes:123147405","taes:123147405"
"taes:123148234","taes:123148234"
"taes:123148620","taes:123148620"
"taes:123149204","taes:123149204"
"taes:123149262","taes:123149262"
"taes:123149284","taes:123149284"
"taes:123149330","taes:123149330"
"taes:123149506","taes:123149506"
"taes:123149986","taes:123149986"
"taes:123149998","taes:123149998"
"taes:123150072","taes:123150072"
"taes:123150302","taes:123150302"
"taes:123150515","taes:123150515"
"taes:123150564","taes:123150564"
"taes:123150992","taes:123150992"
"taes:123151993","taes:123151993"
"taes:123154557","taes:123154557"
"taes:123154745","taes:123154745"
"taes:123155636","taes:123155636"
"taes:123155643","taes:123155643"
"taes:123155652","taes:123155652"
"taes:123155811","taes:123155811"
"taes:123155984","taes:123155984"
"taes:123156423","taes:123156423"
"taes:123156552","taes:123156552"
"taes:123157039","taes:123157039"
"taes:123157165","taes:123157165"
"taes:123157430","taes:123157430"
"taes:123157798","taes:123157798"
"taes:123157961","taes:123157961"
"taes:123160228","taes:123160228"
"taes:123160238","taes:123160238"
"taes:123160475","taes:123160475"
"taes:123160623","taes:123160623"
"taes:123160787","taes:123160787"
"taes:123162074","taes:123162074"
"taes:123162596","taes:123162596"
"taes:123162659","taes:123162659"
"taes:123163161","taes:123163161"
"taes:123163946","taes:123163946"
"taes:123164327","taes:123164327"
"taes:123164678","taes:123164678"
"taes:123164693","taes:123164693"
"taes:123164759","taes:123164759"
"taes:123164772","taes:123164772"
"taes:123165514","taes:123165514"
"taes:123165545","taes:123165545"
"taes:123165673","taes:123165673"
"taes:123165975","taes:123165975"
"taes:123166750","taes:123166750"
"taes:123167143","taes:123167143"
"taes:123167365","taes:123167365"
"taes:123167622","taes:123167622"
"taes:123169127","taes:123169127"
"taes:123169128","taes:123169128"
"taes:123169334","taes:123169334"
"taes:123169450","taes:123169450"
"taes:123169532","taes:123169532"
"taes:123169813","taes:123169813"
"taes:123169885","taes:123169885"
"taes:123171571","taes:123171571"
"taes:123172219","taes:123172219"
"taes:123180029","taes:123180029"
"taes:123180116","taes:123180116"
"taes:123180227","taes:123180227"
"taes:123180560","taes:123180560"
"taes:123180580","taes:123180580"
"taes:123180603","taes:123180603"
"taes:123180734","taes:123180734"
"taes:123180934","taes:123180934"
"taes:123181626","taes:123181626"
"taes:123181969","taes:123181969"
"taes:123182160","taes:123182160"
"taes:123182164","taes:123182164"
"taes:123182231","taes:123182231"
"taes:123182232","taes:123182232"
"taes:123182234","taes:123182234"
"taes:123182235","taes:123182235"
"taes:123182237","taes:123182237"
"taes:123182238","taes:123182238"
"taes:123182239","taes:123182239"
"taes:123182352","taes:123182352"
"taes:123182478","taes:123182478"
"taes:123182679","taes:123182679"
"taes:123182687","taes:123182687"
"taes:123182756","taes:123182756"
"taes:123182892","taes:123182892"
"taes:123183195","taes:123183195"
"taes:123184546","taes:123184546"
"taes:123184629","taes:123184629"
"taes:123184981","taes:123184981"
"taes:123185565","taes:123185565"
"taes:123185566","taes:123185566"
"taes:123185567","taes:123185567"
"taes:123186854","taes:123186854"
"taes:123186940","taes:123186940"
"taes:123186971","taes:123186971"
"taes:123187361","taes:123187361"
"taes:123187500","taes:123187500"
"taes:123188048","taes:123188048"
"taes:123188107","taes:123188107"
"taes:123188135","taes:123188135"
"taes:123188631","taes:123188631"
"taes:123189120","taes:123189120"
"taes:123189229","taes:123189229"
"taes:123189413","taes:123189413"
"taes:123189414","taes:123189414"
"taes:123189415","taes:123189415"
"taes:123189416","taes:123189416"
"taes:123189489","taes:123189489"
"taes:123189943","taes:123189943"
"taes:123190285","taes:123190285"
"taes:123190692","taes:123190692"
"taes:123191042","taes:123191042"
"taes:542924","taes:542924"
"taes:542930","taes:542930"
"taes:542987","taes:542987"
"taes:543276","taes:543276"
"taes:543279","taes:543279"
"taes:543348","taes:543348"
"taes:543418","taes:543418"
"taes:543430","taes:543430"
"taes:543487","taes:543487"
"taes:543496","taes:543496"
