"","name","CleanNames","ShortAnnotation","Description"
"71","'ST 26:0;O3;Hex'","ST 26:0;O3;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[568.397520],Formula=[C32H56O8]"
"72","'ST 26:0;O4;Hex'","ST 26:0;O4;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[584.392435],Formula=[C32H56O9]"
"73","'ST 26:0;O5;Hex'","ST 26:0;O5;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[600.387350],Formula=[C32H56O10]"
"74","'ST 27:0;O4;Hex/TG 30:2;O3'","ST 27:0;O4;Hex | TG 30:2;O3","Sterol/Bile acid conjugates(In-silico) | Triacyl alkylglycerides","MainClass=[Sterol/Bile acid conjugates(In-silico) | Triacyl alkylglycerides],ExtendedClass=[Sterols | Triacyl alkylglycerides],FunctionalClass=[Hexose conjugates(In-silico) | Triacyl alkylglycerides],Mass=[598.408085 | 598.4080837],Formula=[C33H58O9]"
"75","'ST 27:0;O5;GlCA/ST 27:1;O6;Hex'","ST 27:0;O5;GlcA | ST 27:1;O6;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Glucuronic acid conjugates(In-silico) | Hexose conjugates(In-silico)],Mass=[628.382265],Formula=[C33H56O11]"
"76","'ST 27:0;O5;Hex'","ST 27:0;O5;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[614.403000],Formula=[C33H58O10]"
"77","'ST 27:0;O6;Hex'","ST 27:0;O6;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[630.397915],Formula=[C33H58O11]"
"78","'ST 28:0;O4;Hex/TG 31:2;O3'","ST 28:0;O4;Hex | TG 31:2;O3","Sterol/Bile acid conjugates(In-silico) | Triacyl alkylglycerides","MainClass=[Sterol/Bile acid conjugates(In-silico) | Triacyl alkylglycerides],ExtendedClass=[Sterols | Triacyl alkylglycerides],FunctionalClass=[Hexose conjugates(In-silico) | Triacyl alkylglycerides],Mass=[612.423735 | 612.42373377],Formula=[C34H60O9]"
"79","'ST 28:0;O5;GlCA/ST 28:1;O6;Hex'","ST 28:0;O5;GlcA | ST 28:1;O6;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Glucuronic acid conjugates(In-silico) | Hexose conjugates(In-silico)],Mass=[642.397915],Formula=[C34H58O11]"
"80","'ST 28:0;O5;Hex'","ST 28:0;O5;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[628.418650],Formula=[C34H60O10]"
