"Feature","View","Weight","AdjWeight"
"betalamate","LCMS-Aphid",-0.0866177752614021,-0.0984991288836086
"orotate","LCMS-Aphid",0.0847934558987617,0.0964245677732213
"2-dehydropantolactone","LCMS-Aphid",0.0842953324317932,0.0958581167483039
"pseudouridine","LCMS-Aphid",-0.0835532322525978,-0.095014222744163
"D-mannitol","LCMS-Aphid",0.0827463865280151,0.0940967020531153
"(R)-pantothenate","LCMS-Aphid",-0.0823618918657303,-0.0936594662873483
"2-oxoglutaramate","LCMS-Aphid",0.0823488906025887,0.0936446816419337
"adenylo-succinate","LCMS-Aphid",-0.0819364488124847,-0.0931756652429576
"3-deoxy-alpha-D-manno-2-oct...","LCMS-Aphid",-0.0816813111305237,-0.0928855303446332
"kanosamine","LCMS-Aphid",0.0812037661671638,0.0923424805750941
"beta-nicotinamide D-ribonuc...","LCMS-Aphid",-0.0811680927872658,-0.0923019138803979
"biotin","LCMS-Aphid",-0.0810525715351105,-0.0921705465869006
"a thiopurine S-methylether","LCMS-Aphid",-0.0803162157535553,-0.0913331849389859
"D-glucosamine","LCMS-Aphid",-0.0800081267952919,-0.0909828354418299
"pyridoxamine","LCMS-Aphid",0.0797663182020187,0.0907078579822716
"DOM-1","LCMS-Aphid",0.0797592923045158,0.0906998683429444
"1-monomyristoylglycerol","LCMS-Aphid",0.078902542591095,0.0897255983367181
"2'-deoxycytidine","LCMS-Aphid",-0.0786608830094337,-0.0894507903286831
"shikimate 3-phosphate","LCMS-Aphid",0.0782449692487717,0.0889778257092122
"4'-phosphopantetheine","LCMS-Aphid",-0.0777558758854866,-0.0884216434466115
"3-hydroxy-5-oxohexanoate","LCMS-Aphid",0.0772202610969543,0.0878125584184127
"melanin","LCMS-Aphid",0.0754221677780151,0.0857678207761395
"N-dimethylethanolamine phos...","LCMS-Aphid",-0.0748018622398376,-0.08506242797463
"D-glycero-D-manno-heptose 7...","LCMS-Aphid",-0.0747770369052887,-0.0850341973508355
"6-deoxotyphasterol","LCMS-Aphid",0.0744820684194565,0.0846987680603128
"FMN","LCMS-Aphid",-0.0743465274572372,-0.08454463495465
"7-carboxy-7-deazaguanine","LCMS-Aphid",-0.0740541741251945,-0.0842121795383625
"dimethylsulfoniopropanoate","LCMS-Aphid",-0.0736479237675667,-0.0837502038501826
"DL-malic semialdehyde","LCMS-Aphid",-0.0728645026683807,-0.0828593209386096
"L-saccharopine","LCMS-Aphid",-0.0727532133460045,-0.0827327660683763
"gallate","LCMS-Aphid",-0.0726882964372635,-0.0826589445122175
"L-methionine-(R)-S-oxide","LCMS-Aphid",-0.0715853795409203,-0.0814047405893741
"(R)-3- (34-dihydroxyphenyl)...","LCMS-Aphid",0.0712477043271065,0.0810207464922518
"melatonin","LCMS-Aphid",-0.0705412849783897,-0.0802174276553833
"2-oxo-4-methylthiobutanoate","LCMS-Aphid",-0.0704716667532921,-0.0801382599036621
"(-)-sophorol","LCMS-Aphid",0.0702299848198891,0.0798634264778986
"2-(4-hydroxyphenyl)-2-oxoac...","LCMS-Aphid",0.0702207535505295,0.0798529289560254
"linoleate","LCMS-Aphid",-0.0699759945273399,-0.0795745963563042
"4-hydroxybenzoate","LCMS-Aphid",-0.0691449567675591,-0.0786295652104364
"(S)-malate","LCMS-Aphid",-0.0688674300909042,-0.0783139702207248
"L-4-hydroxyglutamate semial...","LCMS-Aphid",-0.0682485327124596,-0.0776101787361112
"tryptamine","LCMS-Aphid",-0.0682417377829552,-0.0776024517466453
"glucose-16-bisphosphate","LCMS-Aphid",0.0680270045995712,0.0773582636288844
"UDP-N-acetyl-alpha-D-glucos...","LCMS-Aphid",-0.0673864483833313,-0.0766298423653481
"1-(beta-D ribofuranosyl)nic...","LCMS-Aphid",-0.0673027634620667,-0.0765346783898201
"CDP-ethanolamine","LCMS-Aphid",-0.0672107711434364,-0.076430067491864
"an 1113-icosadienoate","LCMS-Aphid",0.0671299248933792,0.0763381315678563
"(2S4S)-2-methyl-2334-tetrah...","LCMS-Aphid",-0.0670850276947021,-0.0762870758238631
"GMP","LCMS-Aphid",-0.0670304372906685,-0.0762249972582743
"a tetradecenoate(n-C14:1)","LCMS-Aphid",0.0669076517224312,0.0760853692030126
"adenosine","LCMS-Aphid",-0.0662966892123222,-0.0753906010120187
"L-erythro-78-dihydrobiopterin","LCMS-Aphid",-0.0662217810750008,-0.0753054177312176
"D-glycerate","LCMS-Aphid",0.0660258680582047,0.0750826313408591
"5678-tetrahydrobiopterin","LCMS-Aphid",-0.065772533416748,-0.0747945468059676
"nicotinate","LCMS-Aphid",-0.0656663551926613,-0.074673804122986
"N-formimino-L-glutamate","LCMS-Aphid",0.0652950704097748,0.0742515902347663
"2-oxopenta-34-dienoate","LCMS-Aphid",-0.0647803321480751,-0.0736662453649925
"oxalosuccinate","LCMS-Aphid",-0.0645093768835068,-0.0733581231874618
"N6-acetyl-L-lysine","LCMS-Aphid",-0.0643482059240341,-0.0731748444197783
"7-Methylguanine","LCMS-Aphid",-0.0641666948795319,-0.0729684355191541
"3-Methylhistidine","LCMS-Aphid",-0.0635399743914604,-0.0722557478295632
"N-methylhydantoin","LCMS-Aphid",-0.0632343888282776,-0.0719082451179999
"trans-3'-hydroxycotinine","LCMS-Aphid",-0.0631939023733139,-0.0718622051390987
"2-(formamido)-N1-(5-phospho...","LCMS-Aphid",0.062886655330658,0.0715128130430498
"secologanin","LCMS-Aphid",-0.062290646135807,-0.0708350493124267
"trans-homoaconitate","LCMS-Aphid",-0.062156967818737,-0.0706830343508061
"pantetheine","LCMS-Aphid",-0.0616823956370354,-0.0701433651391583
"alpha-D-galactose","LCMS-Aphid",-0.0615298636257648,-0.0699699103235426
"2-hydroxy-3-carboxy-45-cycl...","LCMS-Aphid",-0.0607658326625824,-0.0691010772914489
"L-octanoylcarnitine","LCMS-Aphid",-0.0602015890181065,-0.0684594363893215
"N-alpha-acetyl-L-methionine","LCMS-Aphid",-0.060158297419548,-0.0684102064854927
"beta-alanine","LCMS-Aphid",-0.0601212941110134,-0.0683681274359504
"(7R8S)-8-amino-7-(carboxyam...","LCMS-Aphid",0.0599727407097816,0.0681991969760088
"4-(2-aminophenyl)-24-dioxob...","LCMS-Aphid",-0.059741023927927,-0.0679356956208711
"2-deoxy-D-glucose 6-phosphate","LCMS-Aphid",-0.0596283376216888,-0.0678075521426061
"7-Methylguanosine","LCMS-Aphid",-0.0594586990773678,-0.0676146442921068
"(+)-trans-isoalliin","LCMS-Aphid",-0.0594285279512405,-0.0675803345949112
"genistein","LCMS-Aphid",0.0589084886014462,0.0669889614871933
"2-iminobutanoate","LCMS-Aphid",0.0587695352733135,0.0668309479416452
"inosine","LCMS-Aphid",-0.0587633103132248,-0.0668238691042562
"(2S)-2-isopropylmalate","LCMS-Aphid",0.0582622326910496,0.0662540587028879
"N-acetyl-alpha-D-glucosamine","LCMS-Aphid",-0.0571781955659389,-0.0650213242880562
"a methyl jasmonate","LCMS-Aphid",0.057143297046423,0.0649816387412815
"a muricholate","LCMS-Aphid",-0.0569448843598366,-0.0647560098016184
"trans-3-Hexenoic acid","LCMS-Aphid",-0.0565622746944427,-0.064320917597622
"L-cystathionine","LCMS-Aphid",0.0565366484224796,0.0642917761718895
"ferulate","LCMS-Aphid",-0.0562719367444515,-0.0639907540131882
"N-acetyl-L-glutamate 5-semi...","LCMS-Aphid",-0.0561616644263268,-0.0638653556496019
"4-coumaroyl-4'-hydroxypheny...","LCMS-Aphid",-0.0561125464737415,-0.0638095001912091
"ophthalmate","LCMS-Aphid",0.0560849905014038,0.0637781643682488
"26-dihydroxynicotinate","LCMS-Aphid",-0.0560721829533577,-0.0637636000098146
"(2Z)-2-hydroxypenta-24-dien...","LCMS-Aphid",-0.056046586483717,-0.0637344924743867
"3-hydroxy-L-kynurenine","LCMS-Aphid",-0.0560099296271801,-0.0636928073996362
"L-lysine","LCMS-Aphid",0.055770106613636,0.0634200878816269
"GDP","LCMS-Aphid",0.0548615455627441,0.0623868995807227
"L-asparagine","LCMS-Aphid",0.0546918697655201,0.0621939493673426
"DON-Hexitol","LCMS-Aphid",-0.0544189140200615,-0.0618835523031105
"Hexanoic acid","LCMS-Aphid",-0.0543901994824409,-0.061850898994556
"L-quinate","LCMS-Aphid",0.0542783476412296,0.0617237044448219
"preQ1","LCMS-Aphid",-0.0539551302790642,-0.0613561513817552
"N6N6-dimethyl-L-arginine","LCMS-Aphid",-0.0536379292607307,-0.0609954399239447
"(S)-2-hydroxymethylglutarate","LCMS-Aphid",-0.0536092780530453,-0.0609628586322876
"5'-deoxy-5'-fluoroadenosine","LCMS-Aphid",-0.0535460934042931,-0.0608910069500881
"AMP","LCMS-Aphid",-0.0528635382652283,-0.0601148257746883
"(S)-2-amino-6-oxohexanoate","LCMS-Aphid",-0.0524457581341267,-0.0596397387748872
"16-anhydro-N-acetyl-beta-mu...","LCMS-Aphid",-0.0524016246199608,-0.0595895514699513
"nt-pentose-ring","LCMS-Aphid",0.0518832504749298,0.0590000719830071
"4'-methoxyisoflavan-2'47-triol","LCMS-Aphid",-0.0517483837902546,-0.0588467056454876
"2-amino-5-formylamino-6-(5-...","LCMS-Aphid",-0.0514668487012386,-0.0585265524097972
"L-2-aminoadipate","LCMS-Aphid",0.0512499138712883,0.0582798606457784
"a jasmonoyl-L-phenylalanine","LCMS-Aphid",0.050936222076416,0.0579231397713435
"L-arginino-succinate","LCMS-Aphid",0.0506763383746147,0.0576276078419996
"creatine","LCMS-Aphid",0.0504500009119511,0.0573702236868558
"L-alpha-amino-epsilon-keto-...","LCMS-Aphid",0.0500803552567959,0.0569498737653931
"a 2-acyl-sn-glycero-3-phosp...","LCMS-Aphid",0.0500745847821236,0.0569433117551504
"4-aminoimidazole","LCMS-Aphid",-0.0500143580138683,-0.0568748236856899
"(2R3S)-3-isopropylmalate","LCMS-Aphid",0.0499506257474422,0.056802349269142
"5-hydroxyferulate","LCMS-Aphid",-0.0495155267417431,-0.0563075677660365
"dopamine","LCMS-Aphid",0.0494205169379711,0.056199525474732
"a retinoate","LCMS-Aphid",-0.0494020245969296,-0.056178496540681
"queuine","LCMS-Aphid",0.0493403375148773,0.0561083478462915
"thymine","LCMS-Aphid",-0.0488893315196037,-0.0555954773930656
"riboflavin","LCMS-Aphid",-0.0488785915076733,-0.0555832641745183
"N-acetylputrescine","LCMS-Aphid",0.0488188341259956,0.0555153098773564
"D-sedoheptulose 17-bisphosp...","LCMS-Aphid",-0.0487405210733414,-0.0554262546292462
"alpha-(2-methoxyphenoxy)-be...","LCMS-Aphid",-0.047942016273737,-0.0545182189872194
"1-(3-aminopropyl)-pyrrolinium","LCMS-Aphid",-0.0478609316051006,-0.0544260119407744
"phenylglyoxylate","LCMS-Aphid",-0.0475515648722649,-0.0540742093968054
"nicotine-glucuronide","LCMS-Aphid",-0.0472739040851593,-0.0537584619007228
"25-dioxopentanoate","LCMS-Aphid",-0.0470561310648918,-0.053510816971885
"dialurate","LCMS-Aphid",-0.0469809621572495,-0.053425337150918
"a 12-hydroxyjasmonate sulfate","LCMS-Aphid",-0.0466682203114033,-0.0530696965299446
"5-Methylcytosine","LCMS-Aphid",0.0460218265652657,0.05233463700298
"maltotriose","LCMS-Aphid",-0.0459684617817402,-0.052273952176171
"Prunin","LCMS-Aphid",0.0458256453275681,0.0521115455998794
"porphobilinogen","LCMS-Aphid",-0.0456812344491482,-0.0519473258922877
"xanthine","LCMS-Aphid",0.0456111878156662,0.0518676709674367
"L-serine","LCMS-Aphid",0.0455847941339016,0.0518376568663587
"11-cis-3-hydroxyretinol","LCMS-Aphid",-0.0454128235578537,-0.0516420970995186
"D-carnitine","LCMS-Aphid",-0.0452357158064842,-0.0514406954914101
"4-coumaryl alcohol","LCMS-Aphid",0.0450632758438587,0.0512446019522713
"L-tyrosine-methyl-ester","LCMS-Aphid",-0.0450611785054207,-0.0512422169220798
"a methylhexadecanoic acid","LCMS-Aphid",0.0449770018458366,0.0511464937565247
"lipoamide","LCMS-Aphid",0.0449745021760464,0.0511436512072201
"1-oleoyl-2-palmitoyl-phosph...","LCMS-Aphid",-0.0449456572532654,-0.0511108496285826
"phenylacetate","LCMS-Aphid",-0.0448141247034073,-0.0509612747688986
"hypoxanthine","LCMS-Aphid",-0.0442992821335793,-0.0503758112830585
"dethiobiotin","LCMS-Aphid",-0.0440987385809422,-0.050147759186611
"urocanate","LCMS-Aphid",-0.0440119318664074,-0.0500490452016683
"linoleate-group","LCMS-Aphid",-0.043527714908123,-0.04949840824017
"a 7-deazapurine","LCMS-Aphid",-0.0433773696422577,-0.0493274401256598
"DON-S-cysteinyl-glycine","LCMS-Aphid",-0.0432316027581692,-0.0491616784092054
"18-hydroxyoleate","LCMS-Aphid",0.0432080216705799,0.0491348627056311
"sinapyl alcohol","LCMS-Aphid",-0.0430264212191105,-0.0489283521340928
"dihydrolipoamide","LCMS-Aphid",-0.0428872779011726,-0.0487701225378524
"4-hydroxymandelate","LCMS-Aphid",0.0427743829786777,0.0486417418274547
"dIMP","LCMS-Aphid",-0.0427307076752186,-0.0485920755859532
"N-acetyl-D-muramate","LCMS-Aphid",-0.0420947782695293,-0.0478689157922177
"L-tryptophan","LCMS-Aphid",-0.0412710793316364,-0.0469322301338762
"N-Butylbenzenesulfonamide","LCMS-Aphid",-0.0409878417849541,-0.0466101409145312
"aldehydo-D-ribose","LCMS-Aphid",-0.0409821830689907,-0.046603705992931
"aldehydo-D-glucose","LCMS-Aphid",-0.0409472696483135,-0.046564003501004
"phloroglucinol","LCMS-Aphid",0.0409253835678101,0.0465391153085082
"(6alpha)-hydroxycampestanol","LCMS-Aphid",0.0407312922179699,0.0463184004630229
"cyclohexane-1-carboxylate","LCMS-Aphid",-0.0403214953839779,-0.0458523918285866
"(R)-lipoate","LCMS-Aphid",-0.0402413941919804,-0.0457613031621959
"pyridoxamine 5'-phosphate","LCMS-Aphid",0.0400596186518669,0.0455545934851176
"L-arabitol","LCMS-Aphid",-0.039873119443655,-0.0453425121947483
"(3Z)-2-oxohex-3-enedioate","LCMS-Aphid",-0.0398429557681084,-0.045308210970129
"tuberonic acid glucoside","LCMS-Aphid",-0.0396987870335579,-0.0451442666212627
"HAI-1","LCMS-Aphid",-0.0396842025220394,-0.0451276815534123
"Zearalenone","LCMS-Aphid",0.0396372005343437,0.0450742323066514
"perillate","LCMS-Aphid",0.0396188162267208,0.0450533262249549
"34-dihydroxy-5-all-trans-de...","LCMS-Aphid",-0.0393609404563904,-0.0447600776548885
"2-carboxy-5-oxo-25-dihydrof...","LCMS-Aphid",-0.0393608063459396,-0.0447599251485175
"1-(3-aminopropyl)-4-aminobu...","LCMS-Aphid",-0.0391587652266026,-0.0445301700642601
"24-dinitrotoluene","LCMS-Aphid",0.0390077047049999,0.0443583885824377
"alpha-D-quinovopyranose","LCMS-Aphid",0.0389508418738842,0.0442937258811174
"glutathione","LCMS-Aphid",-0.0388029664754868,-0.0441255664256072
"S-ureidoglycine","LCMS-Aphid",-0.038780327886343,-0.0440998225029183
"galactitol 1-phosphate","LCMS-Aphid",0.0385698191821575,0.0438604383358451
"(-)-maackiain","LCMS-Aphid",-0.0385507270693779,-0.0438387273594125
"dUMP","LCMS-Aphid",-0.0383578762412071,-0.0436194231978593
"N-formylkynurenine","LCMS-Aphid",-0.0383387170732021,-0.0435976359682413
"Indole-3-acrylic acid","LCMS-Aphid",-0.0383174940943718,-0.0435735018350244
"stearate","LCMS-Aphid",0.0381491035223007,0.0433820131410334
"dimethylsulfonio-2-hydroxyb...","LCMS-Aphid",0.0379650257527828,0.043172685437919
"3-sulfolactaldehyde","LCMS-Aphid",0.037779189646244,0.0429613582068287
"phytosphingosine","LCMS-Aphid",0.0376598425209522,0.0428256402454688
"2-cis-abscisate","LCMS-Aphid",0.0376108027994633,0.0427698737491258
"(S)-2-aminobutanoate","LCMS-Aphid",0.0375861376523972,0.042741825285719
"beta-D-ribosylnicotinate","LCMS-Aphid",0.0374792069196701,0.0426202268725444
"S-hydroxymethylglutathione","LCMS-Aphid",-0.037341333925724,-0.0424634418505408
"L-homoserine","LCMS-Aphid",0.0369303002953529,0.0419960267684605
"2'-deoxyadenosine","LCMS-Aphid",0.0366626344621181,0.0416916452333083
"L-aspartate","LCMS-Aphid",0.0362944565713406,0.041272964409351
"D-ribulose 5-phosphate","LCMS-Aphid",0.0361677296459675,0.0411288543612959
"2'-deoxyguanosine","LCMS-Aphid",-0.0361493788659573,-0.0411079864061921
"Nivalenol","LCMS-Aphid",0.0360554493963718,0.0410011726384321
"2-succinylbenzoate","LCMS-Aphid",-0.0358996503055096,-0.0408240025981663
"allantoate","LCMS-Aphid",-0.0357722602784634,-0.0406791384908322
"UDP-3-O-[(3R)-3-hydroxy-13-...","LCMS-Aphid",-0.0357540138065815,-0.0406583891517948
"L-alanyl-gamma-D-glutamyl-m...","LCMS-Aphid",-0.0354707352817059,-0.0403362533332809
"cytidine","LCMS-Aphid",-0.0354433171451092,-0.0403050742529797
"S-sulfo-L-cysteine","LCMS-Aphid",-0.035218358039856,-0.0400492575244271
"L-arginine","LCMS-Aphid",-0.0350868850946426,-0.0398997504453525
"glutamate-1-semialdehyde","LCMS-Aphid",-0.0349947363138199,-0.0397949616232968
"4-coumaraldehyde","LCMS-Aphid",-0.0348206572234631,-0.0395970041174009
"gamma-L-glutamyl-D-alanine","LCMS-Aphid",0.034571748226881,0.0393139522927537
"an imidazolidine","LCMS-Aphid",0.0343451015651226,0.0390562165256988
"N-acetylglutamyl-phosphate","LCMS-Aphid",-0.0341910235583782,-0.0388810036505281
"(+)-exo-5-hydroxycamphor","LCMS-Aphid",0.0340115018188953,0.0386768569277409
"gamma-L-glutamyl 5-phosphate","LCMS-Aphid",0.0339589603245258,0.0386171083205985
"cis-coumarinic acid-beta-D-...","LCMS-Aphid",-0.0338690355420113,-0.0385148485625292
"1-guanidino-1-deoxy-scyllo-...","LCMS-Aphid",-0.0338149555027485,-0.0384533503684079
"calycosin","LCMS-Aphid",-0.0336933769285679,-0.0383150948704855
"kynurenate","LCMS-Aphid",-0.0331577099859715,-0.0377059505342535
"6-(hydroxymethyl)-78-dihydr...","LCMS-Aphid",-0.0331425368785858,-0.0376886961328858
"O-acetyl-L-serine","LCMS-Aphid",-0.0330615229904652,-0.0375965695759143
"benzyladenine-9-N-glucoside","LCMS-Aphid",-0.032966386526823,-0.037488383250815
"L-citrulline","LCMS-Aphid",0.0328603163361549,0.0373677634201879
"PAI-1","LCMS-Aphid",0.0327646471560001,0.0372589713058924
"octanal","LCMS-Aphid",-0.0327542386949062,-0.0372471351169846
"nicotinamide","LCMS-Aphid",0.0327114909887314,0.0371985237112161
"galactarate","LCMS-Aphid",-0.0325829423964024,-0.0370523421182877
"caffeate","LCMS-Aphid",-0.0325155816972256,-0.0369757415571456
"a 6-hydroxypurine nucleotide","LCMS-Aphid",-0.0324382297694683,-0.0368877792713612
"L-canaline","LCMS-Aphid",-0.0322515480220318,-0.0366754904028757
"3-amino-1-hydroxyacetone 1-...","LCMS-Aphid",-0.0322487950325012,-0.0366723597859814
"thymidine","LCMS-Aphid",-0.0322160683572292,-0.0366351439951599
"D-galactosamine 6-phosphate","LCMS-Aphid",-0.0321065708994865,-0.0365106267794952
"N4-(beta-N-acetyl-D-glucosa...","LCMS-Aphid",-0.0319639183580875,-0.0363484065998793
"L-histidine","LCMS-Aphid",-0.0318416953086853,-0.0362094182241182
"(Z)-propanethial S-oxide","LCMS-Aphid",0.0317632704973221,0.0361202358873654
"2-deoxy-alpha-D-ribose 1-ph...","LCMS-Aphid",0.0317181497812271,0.0360689259660872
"mandelonitrile","LCMS-Aphid",-0.0317106880247593,-0.0360604406810541
"alpha-maltose","LCMS-Aphid",-0.0316237509250641,-0.0359615784260285
"2-hydroxyhexadecanoate","LCMS-Aphid",0.031476367264986,0.0357939781605454
"N-acetyl-serotonin","LCMS-Aphid",-0.0313672497868538,-0.0356698930462653
"56-dihydroxyindole","LCMS-Aphid",0.0309581570327282,0.035204685070277
"O-acetylcarnitine","LCMS-Aphid",0.0308013223111629,0.0350263373419238
"linamarin","LCMS-Aphid",-0.0305342078208923,-0.0347225827774081
"N2-succinyl-L-glutamate 5-s...","LCMS-Aphid",-0.0305244084447622,-0.0347114392216021
"rosmarinate","LCMS-Aphid",-0.0304989367723465,-0.034682473601825
"galacturonate","LCMS-Aphid",0.0303975064307451,0.034567130068007
"agmatine","LCMS-Aphid",-0.0302341412752867,-0.0343813561266418
"N-(3-aminopropyl)acetamide","LCMS-Aphid",-0.0301170106977224,-0.0342481587566921
"succinate","LCMS-Aphid",-0.0299868620932102,-0.0341001576780315
"2-methylbutanoate","LCMS-Aphid",-0.0296748951077461,-0.0337453982049797
"2-keto-6-acetamidocaproate","LCMS-Aphid",-0.029630558565259,-0.0336949800223432
"45-secobiotin","LCMS-Aphid",-0.0295127592980862,-0.0335610222386824
"VAI-1","LCMS-Aphid",-0.0294537786394358,-0.0334939512075861
"preQ0","LCMS-Aphid",-0.0294056795537472,-0.0334392543739844
"L-nicotianamine","LCMS-Aphid",-0.0290725659579039,-0.0330604476116214
"pteridine-ring","LCMS-Aphid",0.0290628205984831,0.0330493654819927
"NN-dihydroxy-L-valine","LCMS-Aphid",-0.0289922039955854,-0.0329690624050648
"5-aminopentanoate","LCMS-Aphid",0.0288732144981623,0.032833751127361
"sn-glycero-3-phosphocholine","LCMS-Aphid",0.0288716964423656,0.0328320248399666
"D-sorbitol 6-phosphate","LCMS-Aphid",-0.0288126021623611,-0.0327648246020838
"heptanal","LCMS-Aphid",0.0287132915109396,0.0326518915161858
"2'-deoxymugineate","LCMS-Aphid",-0.0286881271749735,-0.0326232753901757
"L-glutamine","LCMS-Aphid",0.0286688376218081,0.0326013398904747
"14-dihydroxy-2-naphthoate","LCMS-Aphid",-0.0285773109644651,-0.0324972585285291
"(3S5R)-carbapenam","LCMS-Aphid",0.0284430552273989,0.0323445869422554
"sn-glycerol 1-phosphate","LCMS-Aphid",0.0278849396854639,0.0317099147340269
"6-pyruvoyl tetrahydropterin","LCMS-Aphid",-0.0278670433908701,-0.0316895636060694
"[(1S)-223-trimethyl-4-oxocy...","LCMS-Aphid",-0.0277648903429508,-0.031573398232363
"L-arabinonate","LCMS-Aphid",0.0277191884815693,0.0315214274501436
"3-phospho-D-glycerate","LCMS-Aphid",-0.0276788640767336,-0.0314755717497741
"coniferaldehyde","LCMS-Aphid",-0.0276158414781094,-0.0314039043461062
"indole acetaldehyde","LCMS-Aphid",-0.0276009012013674,-0.0313869147127437
"isoliquiritigenin","LCMS-Aphid",-0.0273753125220537,-0.0311303820515049
"a phytosphingenine","LCMS-Aphid",0.0271166600286961,0.0308362502153729
"L-leucine","LCMS-Aphid",0.0271148178726435,0.0308341553709152
"4-ureido-5-imidazole carbox...","LCMS-Aphid",-0.0270664189010859,-0.0307791175161226
"ibuprofen","LCMS-Aphid",0.0270480960607529,0.0307582813331795
"cis-(-)-72'-dihydroxy-4'5'-...","LCMS-Aphid",-0.0270247515290976,-0.0307317346338986
"3-methyl-2-oxobutanoate","LCMS-Aphid",-0.0270137190818787,-0.0307191888667367
"hypoglycin A","LCMS-Aphid",-0.026929996907711,-0.0306239825283279
"tartronate semialdehyde","LCMS-Aphid",0.0268722139298916,0.0305582734638508
"D-glyceraldehyde 3-phosphate","LCMS-Aphid",-0.0268715545535088,-0.0305575236408598
"pyridoxine","LCMS-Aphid",0.0266527086496353,0.0303086586610537
"(4-hydroxyphenyl)acetaldehyde","LCMS-Aphid",0.0265207532793283,0.0301586029826722
"gamma-L-glutamyl-(S)-2-amin...","LCMS-Aphid",0.0265021994709969,0.0301375041498678
"2-hydroxypentanoate","LCMS-Aphid",0.0264249108731747,0.0300496138809808
"2-oxoglutarate","LCMS-Aphid",-0.0263185575604439,-0.0299286720924593
"tetrahydropteroate","LCMS-Aphid",0.026310658082366,0.0299196890435763
"pinoresinol","LCMS-Aphid",-0.0258178189396858,-0.0293592471933066
"sulfamate","LCMS-Aphid",-0.0257990770041943,-0.029337934427954
"2'-hydroxygenistein","LCMS-Aphid",-0.0255531184375286,-0.0290582377434696
"12-dihydroxypropane-123-tri...","LCMS-Aphid",-0.0255449321120977,-0.0290489285004042
"arachidate","LCMS-Aphid",-0.0254971776157618,-0.0289946235234503
"dehydroascorbate (bicyclic ...","LCMS-Aphid",-0.0254637207835913,-0.0289565774201643
"4-amino-2-methyl-5-pyrimidi...","LCMS-Aphid",-0.0251885447651148,-0.0286436555282339
"N-phenylacetamide","LCMS-Aphid",-0.0251793153584003,-0.0286331601245048
"L-methionine","LCMS-Aphid",-0.0251384880393744,-0.0285867325252439
"4-imidazolone","LCMS-Aphid",0.0251354407519102,0.0285832672415908
"L-xylo-hex-3-ulono-14-lactone","LCMS-Aphid",-0.025134552270174,-0.0285822568868827
"5-deoxy-5-amino-3-dehydroqu...","LCMS-Aphid",-0.0251165274530649,-0.0285617596069863
"4-coumaroyl-3'4'-dihydroxyp...","LCMS-Aphid",-0.0250912420451641,-0.0285330058016135
"menadiol","LCMS-Aphid",-0.0248984266072512,-0.0283137418847971
